L1,L2,Spherical,Coma,Astig,CLon,EFFL_mm,MS_d,GEO_over_Airy,RMS_over_Airy,GEO_R_avg_mm,RMS_R_avg_mm,EE_info,source_file,source_path,EE1,EE2,EE3,EE4
FCD1,C20-36,-21.39,-9.0,14.49,14.59,9127.191115,-2.42365e-05,41.9,20.96,93.304815,46.678699,"[23.455098729076187, 35.72634601947139, 34.781981133734476, 54.41372969296403]",metrics_FCD1_C20-36.txt,Results\metrics_FCD1_C20-36.txt,23.455098729076187,35.72634601947139,34.781981133734476,54.41372969296403
FCD1,C26-36,-20.61,-9.03,13.64,13.64,9127.193681,-2.39915e-05,39.32,20.86,87.544985,46.443942,"[22.96431074203288, 37.410815792926805, 37.23067570210111, 57.17702225092035]",metrics_FCD1_C26-36.txt,Results\metrics_FCD1_C26-36.txt,22.96431074203288,37.410815792926805,37.23067570210111,57.17702225092035
FCD1,C37-35,-19.02,-8.97,11.7,13.25,9127.205534,-1.99895e-05,36.58,19.95,81.443256,44.414887,"[18.867027990585918, 37.6644858243741, 37.84604384190118, 56.13358003738967]",metrics_FCD1_C37-35.txt,Results\metrics_FCD1_C37-35.txt,18.867027990585918,37.6644858243741,37.84604384190118,56.13358003738967
FCD1,E-F1,-20.86,-8.95,13.7,13.69,9127.20257,-2.1697e-05,39.58,20.31,88.135897,45.222385,"[21.118756732897822, 34.691938345527674, 35.2755086337806, 55.404996825503204]",metrics_FCD1_E-F1.txt,Results\metrics_FCD1_E-F1.txt,21.118756732897822,34.691938345527674,35.2755086337806,55.404996825503204
FCD1,E-F3,-16.66,-10.23,4.98,16.31,9127.200653,6.24637e-06,41.07,20.27,91.437904,45.142094,"[25.78467351395235, 41.9445120110383, 41.85266487857967, 46.32472121708162]",metrics_FCD1_E-F3.txt,Results\metrics_FCD1_E-F3.txt,25.78467351395235,41.9445120110383,41.85266487857967,46.32472121708162
FCD1,F11,-21.27,-9.01,14.36,14.12,9127.19166,-2.76889e-05,40.27,23.11,89.66128,51.451324,"[27.13921942530306, 44.62476511018885, 44.68100828012423, 63.79324080642273]",metrics_FCD1_F11.txt,Results\metrics_FCD1_F11.txt,27.13921942530306,44.62476511018885,44.68100828012423,63.79324080642273
FCD1,F14HT,-13.71,-9.85,3.0,17.81,9127.187675,3.93363e-06,35.31,21.6,78.624398,48.103883,"[26.36959630123492, 48.51208723689576, 48.7417012415049, 60.24806743186993]",metrics_FCD1_F14HT.txt,Results\metrics_FCD1_F14HT.txt,26.36959630123492,48.51208723689576,48.7417012415049,60.24806743186993
FCD1,F2HT,-21.38,-9.0,14.49,14.68,9127.19111,-2.41217e-05,42.07,20.97,93.675965,46.687213,"[23.694681073855136, 35.70136875148741, 35.567471310248166, 54.458025270802466]",metrics_FCD1_F2HT.txt,Results\metrics_FCD1_F2HT.txt,23.694681073855136,35.70136875148741,35.567471310248166,54.458025270802466
FCD1,F3,-19.9,-8.77,12.99,15.14,9127.203791,-2.06255e-05,41.82,20.6,93.125257,45.857538,"[24.637791579975506, 35.93964216719387, 34.942126936536525, 48.375622564256815]",metrics_FCD1_F3.txt,Results\metrics_FCD1_F3.txt,24.637791579975506,35.93964216719387,34.942126936536525,48.375622564256815
FCD1,F8,-16.82,-10.07,5.6,19.4,9127.185419,6.24658e-06,50.69,23.23,112.869145,51.718827,"[36.261703746083285, 42.87834410908479, 43.07636610900403, 43.897678145814005]",metrics_FCD1_F8.txt,Results\metrics_FCD1_F8.txt,36.261703746083285,42.87834410908479,43.07636610900403,43.897678145814005
FCD1,F8HT,-16.82,-10.08,5.59,19.35,9127.185427,3.36922e-06,45.88,22.43,102.166802,49.948893,"[34.395902026971896, 44.81953891075254, 44.79438790436533, 48.68206975094711]",metrics_FCD1_F8HT.txt,Results\metrics_FCD1_F8HT.txt,34.395902026971896,44.81953891075254,44.79438790436533,48.68206975094711
FCD1,LZ_F1,-16.7,-10.24,5.0,16.14,9127.200644,2.30331e-06,39.49,20.65,87.933005,45.981542,"[21.118950593690784, 45.43952901592563, 45.714833124311355, 53.20846602599097]",metrics_FCD1_LZ_F1.txt,Results\metrics_FCD1_LZ_F1.txt,21.118950593690784,45.43952901592563,45.714833124311355,53.20846602599097
FCD1,LZ_F8,-20.89,-9.04,13.92,13.65,9127.193267,-2.52702e-05,39.72,21.3,88.436341,47.434291,"[25.20045097386756, 38.82930937371509, 38.60748289797354, 58.72450683388266]",metrics_FCD1_LZ_F8.txt,Results\metrics_FCD1_LZ_F8.txt,25.20045097386756,38.82930937371509,38.60748289797354,58.72450683388266
FCD1,PBM11,-21.28,-9.01,14.37,14.02,9127.191649,-2.76469e-05,40.39,23.19,89.930755,51.644252,"[27.581354490262196, 44.94763094276626, 44.66766448933506, 63.954752175540776]",metrics_FCD1_PBM11.txt,Results\metrics_FCD1_PBM11.txt,27.581354490262196,44.94763094276626,44.66766448933506,63.954752175540776
FCD1,PBM18Y,-17.06,-10.1,5.78,18.81,9127.185021,2.74923e-06,44.44,21.81,98.944261,48.571691,"[33.42215013341701, 44.361429710916, 44.464832459475836, 47.66589100544581]",metrics_FCD1_PBM18Y.txt,Results\metrics_FCD1_PBM18Y.txt,33.42215013341701,44.361429710916,44.464832459475836,47.66589100544581
FCD1,PBM2Y,-21.39,-9.0,14.5,14.55,9127.191116,-2.44437e-05,41.82,20.99,93.117516,46.744132,"[23.314838595826288, 35.98643360418628, 34.4621178011116, 55.0521322546317]",metrics_FCD1_PBM2Y.txt,Results\metrics_FCD1_PBM2Y.txt,23.314838595826288,35.98643360418628,34.4621178011116,55.0521322546317
FCD1,PBM3,-16.66,-10.23,4.98,16.31,9127.200657,2.96892e-06,39.7,20.47,88.404344,45.581498,"[22.307674461342145, 44.84253757354877, 45.271669525256755, 52.176961902017105]",metrics_FCD1_PBM3.txt,Results\metrics_FCD1_PBM3.txt,22.307674461342145,44.84253757354877,45.271669525256755,52.176961902017105
